,cM,cMact,cMinf,Mac1,Mac2,ncM,ncMcomp,cDC1,cDC2,pDC,cell_type
LYPD2,-0.1726294904947281,-0.06630126386880875,-0.14734356105327606,-0.13765676319599152,0.12258514761924744,0.6291229128837585,0.8960020542144775,-0.40704676508903503,-0.6900308728218079,-0.15823566913604736,all
LY6E,-0.22010615468025208,0.2517023980617523,-0.39585909247398376,-0.14605620503425598,-0.16509048640727997,0.7090503573417664,0.5580071210861206,-0.23758196830749512,-0.16710464656352997,-1.45322847366333,all
MROH6,-0.0030422471463680267,-0.0018014202360063791,-0.00890925619751215,0.02892870455980301,0.009526122361421585,0.031019287183880806,0.0235527865588665,-0.030844245105981827,-0.12376397848129272,-0.05810271576046944,all
OPLAH,0.035376232117414474,-0.003630375722423196,-0.0013412348926067352,0.03388252854347229,0.011174371466040611,-0.0345657616853714,0.0034731689374893904,-0.04792343080043793,0.11295311152935028,-0.03878845274448395,all
DGAT1,0.0007829886162653565,0.005999116692692041,0.0011839154176414013,-0.027741339057683945,0.023697733879089355,-0.0029286418575793505,-0.0186005849391222,-0.011247912421822548,0.05745343863964081,-0.034648049622774124,all
KIFC2,-0.003504566615447402,0.0007045748643577099,0.00777274277061224,0.005089809652417898,0.036813005805015564,-0.012845221906900406,-0.02820374071598053,-0.004479326773434877,-0.05511702224612236,0.07173062860965729,all
RFX3,-0.0020624359603971243,0.0035402376670390368,0.01302555575966835,-0.0028475516010075808,-0.007426625117659569,-0.034419819712638855,-0.049720313400030136,0.0020355386659502983,0.03775147721171379,0.1670488715171814,all
RP11-6J24.6,0.010542771779000759,-0.00490376865491271,-0.0012430803617462516,0.022699259221553802,0.02465074136853218,-0.022262493148446083,-0.011911480687558651,0.004453661851584911,-0.06032177060842514,0.11052100360393524,all
CDKN2B,0.023706484586000443,-0.011239838786423206,-0.0065123215317726135,0.0032362088095396757,0.002460109768435359,0.023784402757883072,0.023342302069067955,-0.09583202749490738,-0.09965631365776062,-0.07033286988735199,all
DDX58,-0.021356360986828804,0.05845113843679428,-0.09408031404018402,-0.006119374185800552,0.12778684496879578,0.09934414178133011,0.13795170187950134,-0.01657666638493538,-0.04354587197303772,-0.3654915690422058,all
B4GALT1,-0.020664842799305916,-0.03920845314860344,0.07865428924560547,-0.026449907571077347,-0.04348263517022133,-0.0786006823182106,-0.050497159361839294,-0.009702205657958984,-0.09111657738685608,0.6689367294311523,all
RP11-195F19.5,0.016717545688152313,-0.003143482841551304,0.013522478751838207,0.012455555610358715,-0.010823541320860386,-0.03383205085992813,-0.002487119985744357,-0.039818909019231796,-0.07166385650634766,0.058190710842609406,all
RUSC2,0.01909734681248665,-0.0011130787897855043,0.021039139479398727,0.018697133287787437,-0.01911206543445587,-0.02485029213130474,-0.03216360881924629,-0.069245345890522,-0.08263720571994781,-0.07554211467504501,all
RMRP,0.013784036040306091,-0.004089116584509611,0.00773782841861248,0.012603078968822956,0.002466605044901371,-0.006199817638844252,-0.026008252054452896,-0.05532144010066986,-0.1049494594335556,-0.009038863703608513,all
TPM2,-0.07288908958435059,-0.1004800945520401,-0.07911064475774765,-0.0726681649684906,-0.03397304564714432,-0.11293767392635345,-0.21256862580776215,-0.19048656523227692,-0.25372952222824097,5.188304901123047,all
RECK,0.036721643060445786,-0.010864941403269768,0.0016242766287177801,-0.027704065665602684,-0.03802822530269623,-0.004570323042571545,-0.013834831304848194,-0.06929326057434082,-0.12776145339012146,-0.07896894961595535,all
RNF38,-0.006992524489760399,0.004632763098925352,0.011438348330557346,0.007437668275088072,0.016929486766457558,0.012959813699126244,-0.023143479600548744,-0.0669933408498764,-0.10262921452522278,-0.04082701355218887,all
PAX5,0.01196481753140688,0.02996276319026947,0.0022487512324005365,0.01686459593474865,0.07513552904129028,-0.034470491111278534,-0.02922683022916317,-0.11113960295915604,-0.35372596979141235,0.0032296571880578995,all
RP11-262H14.1,0.029369136318564415,0.01010616309940815,-0.016230260953307152,-0.007000751327723265,-0.0074006193317472935,-0.029140973463654518,-0.03997891768813133,-0.007428043056279421,-0.10451594740152359,0.0060772099532186985,all
RP11-274B18.2,0.04698602855205536,-0.007738110609352589,-0.0465020015835762,0.03732360899448395,0.026262294501066208,0.06701811403036118,0.005155705381184816,-0.1482824832201004,-0.14553283154964447,-0.21187558770179749,all
PIP5K1B,0.00525121483951807,-0.010313082486391068,0.00781298615038395,-0.00723442854359746,0.04160343483090401,0.008241408504545689,0.00846134964376688,-0.05270937457680702,-0.13842006027698517,0.021420644596219063,all
ALDH1A1,0.1691955327987671,0.004731845576316118,0.032375551760196686,0.12516389787197113,0.009083996526896954,-0.216405987739563,-0.19448387622833252,-0.19199781119823456,-0.05773917958140373,-0.285394549369812,all
PCSK5,0.059720225632190704,-0.0044258651323616505,0.01911608874797821,0.038617122918367386,-0.04559333249926567,-0.08944466710090637,-0.07522398978471756,-0.0035151441115885973,-0.10460074990987778,-0.10779700428247452,all
TLE4,0.006168259307742119,-0.06708654761314392,0.008541579358279705,0.0064600082114338875,0.0388549268245697,0.1705428510904312,0.1280759572982788,-0.183396577835083,-0.4896368682384491,-0.42398732900619507,all
FRMD3,0.0020206989720463753,-0.004479339811950922,-0.0485016293823719,-0.03048466518521309,0.33361926674842834,0.07573153078556061,0.13641859591007233,-0.09007706493139267,-0.064576156437397,-0.10655307024717331,all
RMI1,-0.006168797612190247,0.020407097414135933,-0.006538987159729004,-0.02233825996518135,0.005499161314219236,-0.010184342972934246,0.016237935051321983,0.006211417261511087,0.08022429794073105,-0.0446617566049099,all
GOLM1,0.059939637780189514,-0.009315128438174725,-0.02316967211663723,0.00888663250952959,-0.005994926672428846,0.0024010157212615013,-0.013835931196808815,-0.09436950087547302,-0.07862763851881027,-0.16356876492500305,all
C9orf47,0.05881718918681145,-0.010570385493338108,0.0014706965303048491,0.02142535336315632,-0.002511698054149747,-0.04984932020306587,-0.05469495430588722,-0.05067795515060425,-0.03554001823067665,-0.06521140784025192,all
S1PR3,0.10642402619123459,-0.02342834323644638,0.005689200013875961,0.07339009642601013,-0.0217334795743227,-0.0937843918800354,-0.0939893051981926,-0.07877304404973984,-0.019226767122745514,-0.12781886756420135,all
CKS2,-0.03352760896086693,0.008848668076097965,0.010012825950980186,0.013365484774112701,-0.020635781809687614,-0.014412437565624714,-0.04465700313448906,0.05855604261159897,0.7196362614631653,0.13785533607006073,all
GADD45G,0.027908753603696823,0.0058564916253089905,0.0297622699290514,0.010641786269843578,0.0080627566203475,-0.06464491784572601,-0.0805109366774559,-0.04351352900266647,-0.09986968338489532,-0.07398578524589539,all
NFIL3,0.10050218552350998,-0.009754443541169167,0.002674628281965852,0.047395069152116776,-0.02773848921060562,-0.0920783206820488,-0.08404574543237686,-0.04886971786618233,0.017422959208488464,-0.2744486927986145,all
RP11-2B6.2,0.000332102325046435,-0.008028332144021988,0.006674948614090681,-0.010089731775224209,0.006065441761165857,-0.0010472139110788703,-0.03281305357813835,0.008069348521530628,-0.09881941974163055,0.05669077858328819,all
HEMGN,-0.00855639111250639,-0.007157034240663052,-0.002147104823961854,-0.019855458289384842,0.4245612621307373,0.011676839552819729,0.00589680764824152,-0.0625569149851799,-0.06447634100914001,0.04470038041472435,all
TGFBR1,0.03743203356862068,-0.00873867329210043,0.014990665018558502,0.018849745392799377,0.02089758776128292,-0.05530014634132385,-0.053288813680410385,-0.012013307772576809,-0.016599170863628387,-0.03400605916976929,all
NR4A3,0.01152506098151207,-0.07000044733285904,0.06012536957859993,-0.017699498683214188,-0.06892058998346329,-0.024225374683737755,-0.059197865426540375,0.1674804538488388,0.08751583844423294,-0.06995510309934616,all
