,B atypical,B memory,B naive,MK contam,NK1,NK2,NK3,Plasmablast,Progenitor,Prolif T,T4 IFN,T4 memory,T4 naive,T4 regulatory,T8 cyto1,T8 cyto2,T8 cyto3,T8 memory,T8 naive,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
T4 IFN,-0.291635217789912,-0.18335372986156231,-0.15553139241112413,0.09025524963504829,-0.15291911896658575,-0.06502915527626729,-0.1067796543495963,-0.055109141732594555,0.15797641876696814,0.022951897124883817,1.0,0.2984909993718253,0.268684272821482,0.24273536918679559,-0.07668887749085812,0.06562939109523719,0.012916975021253838,0.11560974030974104,0.2251639789694849,-0.012729797251420125,-0.09403427531058738,0.2540779664120507,0.1311463718820597,-0.19506452588427248,0.1498581836612314,-0.1683964659553194,0.10121299725803438,0.2898016575682006,0.1934034886829287,0.11202621381382567,-0.014896683589433418,-0.22841996000445722,0.13883157295961057,0.3169075838668425,-0.056649163712800675,-0.32559558932937965,-0.12407231916051957,0.08243439552123008,-0.11622494400431013,-0.020896792232775768,-0.11728807182402053,0.19773907141201938,-0.02178960545292614,-0.06028351840418754,0.1061522674902758,0.21739939632576802,-0.08676143981914636,-0.11580918178686378,-0.02986436959735079
T4 memory,-0.5151453184410476,-0.34822622900740513,-0.3688953883533665,0.20530875694675094,-0.21375016360159843,-0.08219670898301341,-0.12543807148126818,-0.16597084506488347,0.10725237871777928,-0.018335270557078426,0.2984909993718253,1.0,0.37744278259218184,0.4892206238930651,-0.038964297279737825,0.2640217708095554,0.25650549802830336,0.3079441645359109,0.10647443665524256,0.08119894977309457,-0.1007966990916319,0.05147117387058927,0.7874159328642456,-0.37344187827147063,0.34632112284658406,-0.24214630713532656,0.07353037386142468,0.3964740914095495,0.11850182458023874,-0.030756607124468895,0.20063150575343136,-0.33306320184530797,0.11584302108584045,0.519898851386669,0.16799335415954852,-0.2246244807020109,-0.09864430258602162,0.33429242859803404,-0.29787130072008333,-0.06330562263673048,-0.174103945987196,-0.07050352633680494,0.016966368993690153,-0.027676142536730043,0.3172052237462187,0.392898184471926,-0.11292238396467298,-0.29757088628527517,-0.05055003334758103
T4 naive,-0.766014300563159,-0.1851498485808346,-0.15728328561336533,0.6487629732857342,-0.3784561255299734,-0.20169409019922996,-0.27241948543221506,-0.10759815933079879,0.3934621566109969,-0.09983852186429581,0.268684272821482,0.37744278259218184,1.0,0.33494332009808525,-0.4371499683096171,-0.14679722584641522,-0.10551453717628263,0.23505171258893937,0.5297685221065027,0.1910219368939433,-0.4365977905536712,0.11689225640297614,0.30209697623818366,-0.16599095863298827,0.7002542692119165,-0.4071282220140951,0.34079387704769554,0.9058349930820191,0.20554161083265396,-0.047907766589180834,-0.1282411382949624,-0.18145863296095976,0.15653027992359364,0.3028630316999206,-0.18990636230193242,-0.26337413698092377,-0.22244725311913882,0.2519217553302847,-0.2572570931923392,0.017473759074603797,-0.11483412477935673,-0.1462510439808947,-0.08918509348520481,0.0714522561208604,0.4822113680893372,0.7104155002826985,-0.06190937091565542,-0.15493315800924928,0.04046810920229078
T4 regulatory,-0.42312606074867887,-0.15375846912685853,-0.1701990175370183,0.2264066387025535,-0.24070848217755422,-0.13096820539919887,-0.17419024817080198,0.01521482742431717,0.12924280604723443,0.0049459816408722,0.24273536918679559,0.4892206238930651,0.33494332009808525,1.0,-0.1601987116752598,0.07038983852168106,-0.018079045950509957,0.15956247185043912,0.1372441726704602,0.05260162899814864,-0.17224084491658118,0.018220243224353682,0.4165001382698844,-0.17611320367173217,0.30188250935053507,-0.25317138048885557,0.12106797522576078,0.3354835553775664,0.06806099144606141,-0.042740842920036264,0.07030295487032018,-0.14804458010549668,0.05095565238934661,0.8971343160587733,-0.03952219769482869,-0.1544930161464385,-0.14453733560734994,0.26057156021298905,-0.1318787181865946,0.0391701523808376,-0.09721497115929774,-0.090792327600291,0.03227916914065054,-0.003448478051262907,0.280500949214572,0.33408717941087623,0.0287761032210459,-0.1433100613366703,0.0008345876480117481
T8 cyto1,0.07333817570314176,-0.5328845957355425,-0.634569914525677,-0.1749069393695782,0.5560359705488989,0.18624763657383311,0.46481067001979715,-0.07626247488946138,-0.20950518880184898,0.2779616764560381,-0.07668887749085812,-0.038964297279737825,-0.4371499683096171,-0.1601987116752598,1.0,0.5055292492984997,0.36262879880702714,0.22356032388966504,-0.1344356999641285,-0.1881196934103563,0.9286861683176344,-0.14463420262903567,0.004114301891612206,-0.5857193494600026,-0.250461627247441,0.577517539381164,-0.0363102464527776,-0.4834353681801619,-0.06858042903494513,-0.006556153999175288,0.43185157593495876,-0.4491267904129246,-0.12156515150755513,-0.13183102679623973,0.3822725910631942,0.09693608317875867,0.22517334637399536,0.07647477439672365,-0.34004674106215416,0.02140861814724521,-0.10396088028661599,0.058130285835864055,0.3308933057027066,0.02444433564763154,-0.21914858409489693,-0.2941613806283308,-0.049011626973212305,-0.30435411765541676,0.0008566469717336046
T8 cyto2,-0.21558982148206957,-0.47514616871199505,-0.5051571984115538,-0.034358776542178476,0.06077468575409245,0.19457053737528168,0.10532275223112629,-0.12183078427544784,-0.06258281805854012,0.18272740183929137,0.06562939109523719,0.2640217708095554,-0.14679722584641522,0.07038983852168106,0.5055292492984997,1.0,0.571890274845452,0.3489348274304511,0.09787124430827376,-0.09711595265707419,0.49769451661707037,-0.11865184545229583,0.24525787013769734,-0.4735192316753032,0.0016341590951318224,0.08556736993452738,0.16936480325028327,-0.11608351848857182,-0.061549094989993273,-0.10918914925849488,0.8769858627290555,-0.39622156923247565,-0.07688762454614712,0.10625906480953835,0.5777334086511517,-0.03180294062119494,0.22895787183436112,0.2178627737496812,-0.2950954363958536,-0.03582674926146894,-0.14759814078539515,-0.0891970531148807,0.24327830832986522,-0.0031992342681112724,0.02136598216700567,0.025498470730293127,-0.05515539046255909,-0.3138663511147735,-0.021021749854028757
T8 cyto3,-0.1633200787307095,-0.45877225233295144,-0.487241884683635,0.07145248633753148,0.22677425952555702,0.25468185799506676,0.16239636645418803,-0.1065318259535821,-0.07321020892040639,0.09688611275968737,0.012916975021253838,0.25650549802830336,-0.10551453717628263,-0.018079045950509957,0.36262879880702714,0.571890274845452,1.0,0.24393947259269153,-0.019450082162772046,-0.11905990574226644,0.36085971719883553,-0.12183458913306139,0.25657162903109626,-0.4460414244826586,0.01080269248587971,0.23200482335920283,0.054009155837824084,-0.1368912077553898,-0.052659909273164,-0.06726312306201944,0.5165115798277797,-0.3673328992459275,-0.0507709939177852,0.007724260627732886,0.8947891529259274,-0.035128027217047185,0.2942451306741719,0.1910985416865044,-0.3176784695819282,0.0029680147617023086,-0.11507841798896623,-0.04057558183672452,0.1791931934805895,-0.0006563892166695062,0.015300797684405938,-0.006748396837893939,-0.039577005913886375,-0.25549005669580904,-0.0352426490830074
T8 memory,-0.4356372631904278,-0.45719543412088615,-0.46494432560324794,0.22267085248268612,0.03517928808549351,0.03900630249789831,0.05890838744539254,-0.12234115959790871,0.10271153932948532,0.03059961724065114,0.11560974030974104,0.3079441645359109,0.23505171258893937,0.15956247185043912,0.22356032388966504,0.3489348274304511,0.24393947259269153,1.0,0.28730666290741624,0.02682081268368974,0.2142213123051109,-0.035792614166814674,0.2895742602389659,-0.4415302457974341,0.25972373458421255,0.024132709388388494,0.2668127095914091,0.25682740954974936,0.058848521987631394,-0.06840441245033228,0.31528558756359604,-0.4041208207776079,0.023942439648691693,0.19976234480337782,0.20218964210962753,-0.10428902231781445,0.04464982828305109,0.2386705817305097,-0.34447738640274894,-0.0035038260306461807,-0.13090957452047997,-0.09391860873088054,0.0731243105844143,0.05066098533870582,0.1908647639308001,0.26777695119100164,-0.03928969779145029,-0.2833125755387458,0.004495590351994169
T8 naive,-0.6011956525384208,-0.31481934779909054,-0.2526371967307813,0.4810349971654072,-0.21488735133973022,-0.1070640265795475,-0.12467598745198913,-0.15630813819128783,0.29303513139664267,-0.11765850470249122,0.2251639789694849,0.10647443665524256,0.5297685221065027,0.1372441726704602,-0.1344356999641285,0.09787124430827376,-0.019450082162772046,0.28730666290741624,1.0,0.09279463249215929,-0.13318998734521703,0.055968596910137884,0.0844772743450272,-0.24909914741655828,0.3493034387418951,-0.2313852857701784,0.7660415097744574,0.5167586546477155,0.12263856889051351,-0.03314628640177361,0.08118748292040381,-0.28431880525613223,0.10828068863991934,0.1298628484029898,-0.08566696367522386,-0.2297238658201682,-0.1144669202185254,0.17192361793656652,-0.27567628437349123,-0.016613428269011195,-0.12378615174318056,-0.07829262241846703,-0.07282284887882186,0.05006927899781442,0.25089481819334825,0.4909073296392974,-0.08660051567902335,-0.18859687658740362,0.04086681936199872
0,-0.1939146053913759,0.07330974463742726,0.06989007209232324,0.036133846985527705,-0.13259324550184953,-0.058050628042457406,-0.10311773118360452,-0.04057744949496544,0.09146641771268388,-0.10655791341316216,-0.012729797251420125,0.08119894977309457,0.1910219368939433,0.05260162899814864,-0.1881196934103563,-0.09711595265707419,-0.11905990574226644,0.02682081268368974,0.09279463249215929,1.0,-0.47473049912532744,0.8516115019227617,-0.42971847048107914,-0.1599760575870265,-0.4420545205382886,-0.3711289567381628,-0.4704326460058981,0.042822340666041854,0.7700371152554158,0.22942857243512757,-0.4776328281441525,-0.31838634495253704,0.7286499003502503,-0.19157976508222258,-0.44119949988352963,-0.05732253468783344,-0.30307980282817615,-0.7694965341788613,-0.1265582241343251,0.025441037199212212,-0.09030418849362278,0.23414497270850546,-0.42770973534493234,-0.08757207307366444,-0.018413339390118837,-0.32627567481503594,-0.33240149226536336,0.041631097465451135,-0.2780528513004707
1,0.12407336065563382,-0.49157753081537814,-0.5778461551385112,-0.15768755820590022,0.5329097459773595,0.1843885514117005,0.4591594017153233,-0.05635886952658877,-0.20348511135702338,0.27371816974853563,-0.09403427531058738,-0.1007966990916319,-0.4365977905536712,-0.17224084491658118,0.9286861683176344,0.49769451661707037,0.36085971719883553,0.2142213123051109,-0.13318998734521703,-0.47473049912532744,1.0,-0.44127966520877343,0.13328933037895416,-0.46406831152042965,-0.05903830399895487,0.6428679388073796,0.14811743554219498,-0.4284675511311929,-0.36228357503247455,-0.11952889187895549,0.5704833897325698,-0.2882691985137957,-0.39964991821937657,-0.06588249082476173,0.4978977844425439,0.156884680031431,0.3083358849596521,0.3334879823121716,-0.26446913208917333,0.008020853700460883,-0.060352514796813424,-0.06829503944945074,0.4359473835886024,0.07538443782175677,-0.15278942602887782,-0.13797798625337293,0.0770423217811512,-0.299160459022432,0.0952557293304138
2,-0.1343199034803055,0.07610283537596402,0.062930769646046,-0.019213186529385157,-0.09159618372127251,-0.02199925862611772,-0.08668327813798316,0.006813473580648283,0.056220147467019074,-0.05961866892131023,0.2540779664120507,0.05147117387058927,0.11689225640297614,0.018220243224353682,-0.14463420262903567,-0.11865184545229583,-0.12183458913306139,-0.035792614166814674,0.055968596910137884,0.8516115019227617,-0.44127966520877343,1.0,-0.515480374970325,-0.17990519653938272,-0.5546200721472814,-0.3382843108033083,-0.5373779746868861,-0.05691625194000344,0.90134069258273,0.35146704088615405,-0.5215619162556164,-0.342119264868382,0.8324412000183917,-0.2191974638899183,-0.45557101636364516,-0.19378036726703005,-0.29932347970457834,-0.8326881168636165,-0.12181913632902075,-0.01241743669583712,-0.11439843392099652,0.4237148780486825,-0.41278789310198133,-0.13670040425430838,-0.2247271286668039,-0.4222976399317882,-0.3335238126424989,0.10161358645712419,-0.3295068587616589
3,-0.3953872398298999,-0.30281445299619736,-0.3206103392452376,0.24999018098259654,-0.17343326137392492,-0.07317099232335639,-0.09200581212125387,-0.10428284875724751,0.08133066088788311,0.03239355813830056,0.1311463718820597,0.7874159328642456,0.30209697623818366,0.4165001382698844,0.004114301891612206,0.24525787013769734,0.25657162903109626,0.2895742602389659,0.0844772743450272,-0.42971847048107914,0.13328933037895416,-0.515480374970325,1.0,-0.19444201550823037,0.654213851704278,-0.05513972029491757,0.41294209692348627,0.4171312252746961,-0.40225334545885666,-0.2943198287306694,0.4483400670063378,-0.05116954226815321,-0.3985766394770754,0.5713390573968585,0.39687295417414503,-0.12211512325531111,0.06806205496123693,0.7815200658357051,-0.17509098677101614,-0.00965108225576617,-0.09929108976127199,-0.3756935319229782,0.26865655358846874,0.05687792269533193,0.4160748708854347,0.6238623410163384,0.14331872468310572,-0.28488154107435576,0.1466684910207418
