,cM,iM,ncM,actM,compM,Mac1,Mac2,cDC1,cDC2,pDC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
3,-0.005733130120442943,0.05318812886614208,-0.045903892314489006,-0.06645536622140397,-0.025948210329807472,-0.0032591924605938813,0.04420906330471294,0.033626962510892554,0.02066038823538929,0.06673680418676468,-0.3817183449616431,0.08066550860295676,-0.5081974640876544,1.0,-0.18393938756599165,0.7427450201596802,-0.08243681162082808,0.6423765066196699,0.4880913597585448,-0.3721756227119126,-0.27245257140635903,0.4747112658795348,-0.05202873894240132,-0.3160594410907517,0.7335472485146661,0.47858032195664846,-0.03995727677348054,0.06828511508998762,0.808525272082096,-0.1983002696538787,-0.046662956109495654,-0.028296196067041004,-0.16062330992402452,0.32126923127571677,-0.006549781234149873,0.4172769458751206,0.3351441719192943,0.12789857086518305,-0.24216233091352213,0.1237326444711523
4,-0.2799435918447057,0.007101621302464134,0.02790785108014182,-0.043978796418535755,0.011069010650337543,-0.18145132801550548,0.03133256135033756,0.17936888848657662,0.17311716763753202,0.2345747854065909,-0.22618564563565172,-0.36601598717638206,-0.2636766705580815,-0.18393938756599165,1.0,-0.07126939059881635,-0.3379071257689506,-0.07724536910458747,-0.14686675878409752,-0.3446774647236082,-0.09879422644395476,-0.23843393281754724,0.8150904208008328,-0.2563200899133939,-0.16110796313542397,-0.2681457896177364,0.14382066594184395,-0.2550038740185074,-0.019110237685591745,0.6996798428547027,-0.06580430192700513,0.13491434757671597,-0.05703081548585024,-0.16687207310214822,-0.02797215417771317,-0.07118670677018514,-0.05880244383780729,0.24350188307500384,0.4707237306638016,0.08454556293464822
5,-0.006106720338263123,0.005240452404994394,-0.056599957362555756,-0.06155742381525156,-0.018071199320267996,-0.020433495107197667,0.1290595991630077,-0.008856374475079242,-0.0029609356553845848,0.13825314382927117,-0.35216280576427833,-0.11139457409650676,-0.4899876293509682,0.7427450201596802,-0.07126939059881635,1.0,-0.208260539466305,0.8266406890265681,0.7929773847361146,-0.3418207909905219,-0.2611285524378673,0.2942648715596149,0.024035692696100373,-0.29425661204669945,0.7325559436921477,0.183785310256693,-0.07519970633735273,-0.04571843781854225,0.8064823132259755,-0.18254145085904896,-0.066967138894538,0.020864764253061507,-0.15179135139274325,0.19063015030207398,0.04502332861602539,0.49538358815174505,0.44860821637132375,0.1438090969634489,-0.20398488796671072,0.1993252489055755
6,-0.14263097337847153,-0.11268914887608492,0.12151528586693162,-0.014209231179812537,0.048001441224154937,-0.15816570180948117,0.005498652181359736,-0.021051858073395845,-0.0259408811970739,0.10840119573135433,-0.4077466358663153,0.7451159946673803,-0.37940107720110144,-0.08243681162082808,-0.3379071257689506,-0.208260539466305,1.0,-0.06469771852046785,-0.544768504743016,-0.29737399908763545,-0.0077437501601960255,0.20726852624826453,-0.19822727995396877,-0.30113118695955104,-0.3175286160000536,0.4018126337632259,0.16256406925533645,0.7323826799240168,0.16668908294369122,-0.20777973069218195,0.008154690366097022,0.027182346891547696,0.012428204221203405,0.5280084555447665,0.0826974559086868,-0.2072672705166409,-0.1455215307398143,0.08335413677924332,-0.12415218877093269,0.12801053617337826
7,-0.028723435256523194,-0.04262598557482539,-0.030811909284989777,-0.0006412521099205585,-0.010362469315322463,-0.030919253203903648,0.007644326813496193,-0.03583935077318114,0.09448343946715294,0.14843169558190877,-0.4548093863682244,0.07488996141768622,-0.5551309564264267,0.6423765066196699,-0.07724536910458747,0.8266406890265681,-0.06469771852046785,1.0,0.6077489018564854,-0.3915729938239903,-0.296685931065345,0.395973689096235,0.0023969229769013776,-0.3442326107039646,0.5842265645310638,0.31903820669537625,-0.07945638191002544,0.04995750949951417,0.8129426166927946,-0.16860304541261015,-0.04946310748160302,0.008415945774182544,-0.16488300161264183,0.3046290899897707,0.07516552588347675,0.40311911353894214,0.38257593713299115,0.19908968427655457,-0.1471714233187895,0.23314191953582544
8,0.07751419586039025,0.031257282369660695,-0.048778558663911877,-0.07029515564979602,0.005620691844794618,0.008750756212107769,0.06606966541487722,-0.00456459269011608,-0.07561903431873036,-0.0015034327947948093,0.10015379647533867,-0.46662888382311163,-0.008275291410071125,0.4880913597585448,-0.14686675878409752,0.7929773847361146,-0.544768504743016,0.6077489018564854,1.0,0.04095001026969519,-0.06781720072378737,-0.00805666472922694,-0.14054303448001804,0.05933969390387804,0.6762501235206237,-0.14637930363721685,-0.13003797760527025,-0.36437921701434806,0.36353591827664794,-0.23603677732815154,-0.038048096149065895,-0.0011278421996587088,-0.03696255191739165,-0.22776082351040206,-0.034629275521339535,0.4820731470256589,0.434084204271724,-0.0532916075809159,-0.3087871417426159,0.05381522590623087
9,0.6283102410217293,0.030083329920446683,-0.3631230163079902,0.31627219085079494,-0.20594087345508622,0.5605288389042332,-0.19360640179367433,-0.16361325445327438,-0.10029311762583076,-0.3346070473784785,0.6615957824206328,-0.3588053898139577,0.8670920931399927,-0.3721756227119126,-0.3446774647236082,-0.3418207909905219,-0.29737399908763545,-0.3915729938239903,0.04095001026969519,1.0,-0.03019436563576592,-0.43125716564860506,-0.44573121476201044,0.7350872691732744,-0.18743735689735105,-0.3959265102773531,-0.21780115136319436,-0.3255269143758567,-0.6167311090312955,-0.2868748157723635,0.1224307834104804,-0.18484719585525905,-0.04242048121168912,-0.4118017500038543,0.005182372776888403,-0.14407545440860425,-0.17272154524370076,-0.29656858346194004,0.2093857486607617,-0.22460826778840842
10,-0.4306578133508332,-0.3618210492952437,0.8478039020792651,-0.15436194657664978,0.37160504743189715,-0.54136929032088,0.121326736611931,-0.39322220319054413,-0.3367789497351177,-0.22683801869862288,0.11639874895028389,-0.0988108502225134,0.23489424311887983,-0.27245257140635903,-0.09879422644395476,-0.2611285524378673,-0.0077437501601960255,-0.296685931065345,-0.06781720072378737,-0.03019436563576592,1.0,-0.19191327916119005,-0.175241230102222,0.03086346801655041,-0.15366955820459693,-0.18210091850012383,-0.3298289950628183,-0.09702600784553099,-0.34478433270981107,-0.04717741283263415,0.04042729793374622,-0.1510434381856528,0.44071804095236483,-0.2637983197628776,-0.10355182823571399,-0.14711516436687888,-0.08259201117466035,-0.2287410014218206,-0.29561710543251946,-0.1985839044496452
11,-0.11829314069620514,0.01781848906853962,0.031179569488640983,-0.060331741189454724,0.027208444472114353,-0.08816351598588777,0.011218032841069057,0.09178663380845854,0.0617577625904394,0.07048920222102624,-0.45839717845330646,0.521860524322027,-0.5229914744557003,0.4747112658795348,-0.23843393281754724,0.2942648715596149,0.20726852624826453,0.395973689096235,-0.00805666472922694,-0.43125716564860506,-0.19191327916119005,1.0,-0.10819568895565913,-0.3921998560219915,0.27611659123256665,0.7858277902847085,0.09476205337430095,0.45182478974303875,0.5689714379721502,-0.16050677012737938,-0.06939840619766845,-0.00426659246488903,-0.08284706215812697,0.532028425176372,0.02797531607430125,0.12162847950947128,0.13524220067726156,0.1183765365979952,-0.24019472341959142,0.12678882373134234
12,-0.2968437650782546,-0.004261228123766545,0.0024675706747391978,-0.044223723693984925,-0.016128295454288653,-0.1977724933577896,0.05890496048807378,0.21001892658638568,0.19150308531381205,0.29593073759352934,-0.3597666539962749,-0.2065569944518665,-0.4055151269678117,-0.05202873894240132,0.8150904208008328,0.024035692696100373,-0.19822727995396877,0.0023969229769013776,-0.14054303448001804,-0.44573121476201044,-0.175241230102222,-0.10819568895565913,1.0,-0.3627209582835915,-0.09476802638158757,-0.14172687260101594,0.16357335595610087,-0.12075079453277088,0.13117768116455708,0.7375240875357681,-0.09686932038959306,0.16405673303959054,-0.11480107537411648,-0.00909688436510134,-0.011032033400543415,-0.04696755322800568,-0.03610627477091258,0.3692251492229192,0.3687489434706717,0.10818695541300491
