V1,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qval
FAM153B,31.7362270985949,-1.25316178610727,0.182333351924293,53.9590748833662,2.04709347656189e-13,6.74708989492262e-12,8.63618890508885e-13
SMPD3,21.0950089561282,-1.0407349123378,0.147278970230078,53.8525850025547,2.16110573576775e-13,7.04815166096982e-12,9.02018759988517e-13
LRG1,22.747535944806,1.71808501921817,0.226200408443428,53.8472180374883,2.16701711705235e-13,7.0550967397228e-12,9.02885236950907e-13
SIGLEC1,109.053175371479,2.52297692828264,0.291793086177328,53.7554500549463,2.27063459860968e-13,7.3158356540697e-12,9.36116285835917e-13
FCN1,5564.50003153672,1.09206730581238,0.137744620222342,53.4353516619503,2.67244167551003e-13,8.30178035521003e-12,1.06173081461552e-12
IFI44L,1352.95552562386,2.98077968847537,0.32685071174682,53.3173097960316,2.83794788251487e-13,8.75073020633303e-12,1.11904806973993e-12
CELA1,30.4639998314911,-1.44486849153301,0.215977529330294,53.2016235808858,3.01009902387103e-13,9.16042370151943e-12,1.17123506556881e-12
S100A9,64059.8156612991,1.18200951440793,0.149084619674209,52.7794362391273,3.73188111069874e-13,1.11567695705264e-11,1.42615177067079e-12
CTA-384D8.34,65.0168198666637,1.31493118948054,0.170431650058854,52.7114268099697,3.86336834248768e-13,1.14925522597195e-11,1.46895281605036e-12
SPINK2,37.7847393057149,-1.2092987402227,0.179404038087153,52.1806760843947,5.06218410278553e-13,1.47095084793558e-11,1.88257758574114e-12
VEGFA,85.6499214791035,1.29406881621095,0.167063237364445,52.0672851748845,5.36310434072248e-13,1.54634793626241e-11,1.97885615303539e-12
IL1RN,127.475827603471,1.0824466357777,0.141042800468371,51.9867566411747,5.58762268425066e-13,1.60118434984172e-11,2.04885253636035e-12
IFI6,3315.53627435684,2.12304783103587,0.250335078046073,51.9482369322213,5.69831961912239e-13,1.62991062892791e-11,2.08552072672576e-12
RNASE2,291.706523301404,1.5705686325707,0.195744329536062,51.8699753983815,5.93003041454419e-13,1.69150944011195e-11,2.1642920499921e-12
FPR1,589.332127161288,1.21134650851736,0.154593679853102,51.7329247468861,6.35874335741276e-13,1.79730844443235e-11,2.29937055896271e-12
OSCAR,206.405685028374,1.00452162156923,0.131380528765569,51.648188023486,6.6391886810151e-13,1.86808544259935e-11,2.38976898703558e-12
ISG15,4046.24650649361,1.98292586849533,0.237387216992431,51.250863360644,8.1284977782211e-13,2.2398393803946e-11,2.86452414243132e-12
AC021860.1,15.2225123519982,-1.13175811211714,0.163155484663756,50.8937424120478,9.75039399481466e-13,2.65151020369195e-11,3.39040948509694e-12
HELZ2,116.484423053992,1.00435995948178,0.13335057438447,50.8247532941966,1.0099199030136e-12,2.73044286822009e-11,3.49106935861713e-12
SERPING1,71.8010671270806,2.37079006280001,0.289111403099091,50.4410168544096,1.22800626559862e-12,3.25181121744611e-11,4.1565078672741e-12
RAB20,104.163828070237,1.27772385610676,0.167068531343769,50.4395771301724,1.22890748233691e-12,3.25181121744611e-11,4.1565078672741e-12
MGST1,489.068266362822,1.0463027018811,0.137318550259126,50.3087084906444,1.3136529218014e-12,3.4515767966486e-11,4.41144913546684e-12
PARP9,316.210879722937,1.18455646701875,0.154362277647648,49.8328975479112,1.67413302071628e-12,4.32561655144905e-11,5.52737704594406e-12
LRRN3,61.2090700791197,-1.52488948116304,0.238516164937052,49.4023532378358,2.08495392885035e-12,5.28462167699774e-11,6.75119589720829e-12
NR4A1,262.794937385226,1.04047997190392,0.138010929598533,49.0984826691026,2.4342844148654e-12,6.09551352474013e-11,7.78595989269786e-12
EXOC3L1,25.3507440991291,1.67549266386202,0.230241439511542,48.26731868302,3.71899043699938e-12,8.9404338404927e-11,1.1444116874563e-11
APOBEC3A,848.911427744632,2.05567743554595,0.253533344918476,47.9560522041747,4.35880538237501e-12,1.03058953622568e-10,1.32058122246843e-11
GBP1,377.424782571413,1.15597312963865,0.153998257032458,47.8736643670106,4.54586964010235e-12,1.06895333346166e-10,1.36960678842497e-11
