,cM,cMact,cMinf,Mac1,Mac2,ncM,ncMcomp,cDC1,cDC2,pDC,cell_type
RP5-887A10.1,-0.0006453429814428091,0.022644460201263428,0.003978866618126631,0.057677555829286575,0.059015903621912,-0.01815839298069477,-0.0026012365706264973,-0.10781654715538025,-0.16893024742603302,0.0251275934278965,all
SSX2IP,-0.02787947468459606,-0.018122756853699684,-0.014291416853666306,-0.004698893055319786,0.2664259076118469,0.020829128101468086,0.022990640252828598,0.012911835685372353,-0.057921551167964935,0.4097735583782196,all
HS2ST1,0.009544668719172478,0.00153643568046391,0.023963388055562973,-0.022109443321824074,0.014752162620425224,-0.03501153737306595,-0.02659469284117222,-0.033981166779994965,-0.06576695293188095,-0.009283967316150665,all
GBP1,-0.11835237592458725,0.031718239188194275,-0.13591210544109344,-0.10498176515102386,0.6507358551025391,0.3501830995082855,0.3829256296157837,-0.08608575165271759,-0.3872404992580414,-0.6481179594993591,all
GBP5,-0.04098639264702797,0.0026408147532492876,-0.08540281653404236,-0.015206114389002323,0.566633403301239,0.20482489466667175,0.17182815074920654,-0.15821227431297302,-0.11438407748937607,-0.32737910747528076,all
LRRC8B,-0.009215941652655602,0.0018776279175654054,0.025888243690133095,0.031332265585660934,0.021694501861929893,-0.021939197555184364,0.005484129302203655,-0.03898007050156593,-0.05844536051154137,0.03324193134903908,all
GCLM,0.01513490080833435,-0.0010513588786125183,-0.015511716715991497,0.0027585250791162252,0.06312909722328186,-0.01191448699682951,-0.006187654100358486,-0.012098167091608047,0.04345841333270073,0.09789282083511353,all
ARHGAP29,-0.008591290563344955,-0.007208477705717087,-0.047924503684043884,-0.03984573855996132,-0.0036548152565956116,0.13795217871665955,0.008480584248900414,-0.10739312320947647,-0.1390746533870697,-0.10089470446109772,all
PTBP2,-0.004838299471884966,0.008597536012530327,-0.0035205301828682423,-0.03430619090795517,0.02468588389456272,0.00907797273248434,0.0056336321868002415,-0.03235136717557907,-0.05364134907722473,0.010540035553276539,all
DPYD,0.08599972724914551,0.04900462180376053,0.04919856786727905,0.07014110684394836,-0.008940627798438072,-0.18820558488368988,-0.15335962176322937,-0.0704965740442276,-0.3242783546447754,-0.4688192903995514,all
RNPC3,0.014875496737658978,0.011303951032459736,-0.004195830784738064,0.041631631553173065,-0.018682651221752167,-0.021255334839224815,0.0017843516543507576,-0.06497079133987427,-0.10219143331050873,0.04019598662853241,all
RP11-356N1.2,0.03463611379265785,0.010510670021176338,0.0054269894026219845,0.06541179865598679,-0.008734202943742275,-0.04975559189915657,-0.05426298454403877,-0.04135053604841232,-0.0761633887887001,-0.12613758444786072,all
TAF13,0.027202678844332695,-0.02734292298555374,0.03143097087740898,0.02091739885509014,0.011792825534939766,-0.02943393401801586,-0.03248731046915054,-0.0073563894256949425,-0.04361574351787567,-0.10311045497655869,all
PSRC1,0.01820302940905094,0.007335628382861614,0.0031722618732601404,0.03455524519085884,-0.000552623241674155,-0.018402371555566788,-0.004926715511828661,-0.057213906198740005,-0.1301756352186203,-0.08573813736438751,all
RBM15,0.00995514914393425,0.002980915829539299,0.00020284528727643192,-0.01986348070204258,-0.015904685482382774,-0.013648890890181065,-0.03906027600169182,-0.005687682889401913,0.005062963347882032,0.019314581528306007,all
RP5-1074L1.4,0.01580476202070713,0.01173487864434719,-0.007699447218328714,0.039319802075624466,0.013731779530644417,-0.025309467688202858,-0.003109275596216321,-0.042444612830877304,-0.0035150584299117327,0.017068400979042053,all
RP11-284N8.3,0.012861141003668308,-0.008932305499911308,0.018055764958262444,0.007098640780895948,0.11400274187326431,-0.04030272737145424,-0.007135334890335798,-0.0012477595591917634,-0.07268776744604111,0.02123248390853405,all
ADORA3,-0.009885011240839958,0.03567885234951973,-0.005617825780063868,0.02386903017759323,-0.046280693262815475,-0.022662397474050522,0.010686653666198254,0.003156781429424882,0.08911340683698654,-0.097206711769104,all
